ספק,מוצר,יחידת מידה,יעד השלמה,טלפון בוואטסאפ,יחידת הזמנה,מקדם המרה
ריסטרטו,עגבניות מקולפות מוטי,פחית,,אפליקציה,,
ריסטרטו,מחית כמהין שחורה,צנצנת,,אפליקציה,,
ריסטרטו,פאסטה רסק עגבניות,פחית,,אפליקציה,,
ריסטרטו,בלסמי מצומצם,יחידה,,אפליקציה,,
ריסטרטו,כוס קפה חד פעמי 250,שרוול ,,אפליקציה,,
ריסטרטו,חומץ בן יין אדום,גלון,,אפליקציה,,
ריסטרטו,קפה כחול,שקית,,אפליקציה,,
ריסטרטו,שמן חמניות בניחוח כמהין,יחידה,,אפליקציה,,
קוקה קולה,סודה,משטח,,אפליקציה,,
קוקה קולה,מים מינרליים,משטח,,אפליקציה,,
קוקה קולה,קוקה קולה,משטח,,אפליקציה,,
קוקה קולה,קולה זירו,משטח,,אפליקציה,,
קוקה קולה,ספרייט זירו,משטח,,אפליקציה,,
קוקה קולה,ענבים,משטח,,אפליקציה,,
קוקה קולה,קרלסברג חבית,חבית,,אפליקציה,,
קוקה קולה,ויינשטפן,משטח,,אפליקציה,,
קוקה קולה,מים בטעם ענבים,משטח,,אפליקציה,,
קוקה קולה,תפוזים,משטח,,אפליקציה,,
קוקה קולה,טובורג בקבוק,משטח,,אפליקציה,,
קוקה קולה,פיוזטי,משטח,,אפליקציה,,
פסטה ריקו,ספגטי,קרטון,,0584777354,,
פסטה ריקו,פפרדלה,קרטון,,0584777354,,
פסטה ריקו,רביולי בטטה,קרטון,,0584777354,,
פסטה ריקו,רביולי גבינות,קרטון,,0584777354,,
פסטה ריקו,רוטב בולונז,אריזה,,0584777354,,
אוונטאז פטיסרי,פס טירמיסו,פס,10,,,
אוונטאז פטיסרי,בראוניז,קרטון,2,,,
אוונטאז פטיסרי,ביסקוויט מחולק ל9,קרטון,5,,,
וקרשי,בלוק הודו בטעם אווז,יחידה,12,0508699338,,
וקרשי,פיצפוצי סלמי קפוא,קרטון,10,0508699338,,
עדיקא גבינה טבעונית,גבינשיו,שקית,,0507770801,,
